"Olympics","Country","Medal","Event","Athlete","Record"
"Innsbruck 1964","USSR","Gold","ice hockey men","Viacheslav STARSHINOV",""
"Innsbruck 1964","USSR","Gold","ice hockey men","Leonid VOLKOV",""
"Innsbruck 1964","USSR","Gold","ice hockey men","Viktor YAKUSHEV",""
"Innsbruck 1964","USSR","Gold","ice hockey men","Boris ZAITZEV",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Anders ANDERSSON",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Gert BLOME",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Lennart HÄGGROTH",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Lennart JOHANSSON",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Nils JOHANSSON",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Sven Olof JOHANSSON-TUMBA",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Lars Erik LUNDVALL",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Eilert MÄÄTÄÄ",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Hans MILD",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Nils Erik NILSSON",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Bert-Ola NORDLANDER",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Carl-Göran ÖBERG",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Uno ÖHRLUND",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Ronald Erik PETTERSSON",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Ulf STERNER",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Roland STOLTZ",""
"Innsbruck 1964","Sweden","Silver","ice hockey men","Kjell SVENSSON",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Vlastimil BUBNIK",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Josef CERNY",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Jiri DOLANA",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Vladimir DZURILLA",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Josef GOLONKA",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Frantisek GREGOR",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Jiri HOLIK",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Jaroslav JIRIK",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Jan KLAPAC",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Rudolf POTSCH",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Stanislav PRYL",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Ladislav SMID",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Stanislav SVENTEK",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Frantisek TIKAL",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Miroslav VLACH",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Jaroslav WALTER",""
"Innsbruck 1964","Czechoslovakia","Bronze","ice hockey men","Vladimir NADRCHAL",""
"Innsbruck 1964","Finland","Silver","K120 individual (90m) men","Veikko KANKKONEN",""
"Innsbruck 1964","Norway","Gold","K120 individual (90m) men","Toralf ENGAN",""
"Innsbruck 1964","Norway","Bronze","K120 individual (90m) men","Torgeir BRANDTZÄG",""
"Innsbruck 1964","Sweden","Gold","50km","Sixten JERNBERG",""
"Innsbruck 1964","Sweden","Silver","50km","Assar RÖNNLUND",""
"Innsbruck 1964","Finland","Bronze","50km","Arto TIAINEN",""
"Innsbruck 1964","France","Gold","giant slalom women","Marielle GOITSCHEL",""
"Innsbruck 1964","United States of America","Silver","giant slalom women","Jean SAUBERT",""
"Innsbruck 1964","France","Silver","giant slalom women","Christine GOITSCHEL",""
"Innsbruck 1964","Finland","Gold","15km  men","Eero MÄNTYRANTA",""
"Innsbruck 1964","Sweden","Bronze","15km  men","Sixten JERNBERG",""
"Innsbruck 1964","Norway","Silver","15km  men","Harald GRÖNNINGEN",""
"Innsbruck 1964","France","Silver","downhill men","Léo LACROIX",""
"Innsbruck 1964","Austria","Gold","downhill men","Egon ZIMMERMANN",""
"Innsbruck 1964","United Team of Germany (1956,1960,1964)","Bronze","downhill men","Wolfgang BARTELS",""
"Innsbruck 1964","USSR","Gold","pairs mixed","BELOUSOVA, Lyudmila / PROTOPOPOV, Oleg",""
"Innsbruck 1964","United Team of Germany (1956,1960,1964)","Silver","pairs mixed","BÄUMLER, Hans Jürgen / KILIUS, Marika",""
"Innsbruck 1964","Canada","Bronze","pairs mixed","REVELL, Guy / WILKES, Debbi",""
"Innsbruck 1964","USSR","Gold","pairs mixed","Lyudmila BELOUSOVA",""
"Innsbruck 1964","USSR","Gold","pairs mixed","Oleg PROTOPOPOV",""
"Innsbruck 1964","United Team of Germany (1956,1960,1964)","Silver","pairs mixed","Marika KILIUS",""
"Innsbruck 1964","United Team of Germany (1956,1960,1964)","Silver","pairs mixed","Hans Jürgen BÄUMLER",""
"Innsbruck 1964","Canada","Bronze","pairs mixed","Debbi WILKES",""
"Innsbruck 1964","Canada","Bronze","pairs mixed","Guy REVELL",""
"Innsbruck 1964","Sweden","Gold","4x10km relay men","4x10km relay",""
"Innsbruck 1964","USSR","Bronze","4x10km relay men","4x10km relay",""
"Innsbruck 1964","Finland","Silver","4x10km relay men","4x10km relay",""
"Innsbruck 1964","Sweden","Gold","4x10km relay men","Karl-Ake ASPH",""
"Innsbruck 1964","Sweden","Gold","4x10km relay men","Sixten JERNBERG",""
"Innsbruck 1964","Sweden","Gold","4x10km relay men","Janne STEFANSSON",""
"Innsbruck 1964","Sweden","Gold","4x10km relay men","Assar RÖNNLUND",""
"Innsbruck 1964","Finland","Silver","4x10km relay men","Väinö HUHTALA",""
"Innsbruck 1964","Finland","Silver","4x10km relay men","Arto TIAINEN",""
"Innsbruck 1964","Finland","Silver","4x10km relay men","Kalevi LAURILA",""
"Innsbruck 1964","Finland","Silver","4x10km relay men","Eero MÄNTYRANTA",""
"Innsbruck 1964","USSR","Bronze","4x10km relay men","Ivan UTROBIN",""
"Innsbruck 1964","USSR","Bronze","4x10km relay men","Gennadi VAGANOV",""
"Innsbruck 1964","USSR","Bronze","4x10km relay men","Igor VORONCHIKHIN",""
"Innsbruck 1964","USSR","Bronze","4x10km relay men","Pavel KOLCHIN",""
"Innsbruck 1964","Italy","Silver","two-man men","ZARDINI, Sergio / BONAGURA, Romano",""
"Innsbruck 1964","Great Britain","Gold","two-man men","DIXON, Robin Thomas / NASH, Antony James",""
"Innsbruck 1964","Italy","Bronze","two-man men","MONTI, Eugenio / SIORPAES, Sergio",""
"Innsbruck 1964","Great Britain","Gold","two-man men","Antony James NASH",""
"Innsbruck 1964","Great Britain","Gold","two-man men","Robin Thomas DIXON",""
"Innsbruck 1964","Italy","Silver","two-man men","Sergio ZARDINI",""
"Innsbruck 1964","Italy","Silver","two-man men","Romano BONAGURA",""
"Innsbruck 1964","Italy","Bronze","two-man men","Eugenio MONTI",""
"Innsbruck 1964","Italy","Bronze","two-man men","Sergio SIORPAES",""
"Innsbruck 1964","Austria","Bronze","giant slalom men","Josef STIEGLER",""
"Innsbruck 1964","France","Gold","giant slalom men","François BONLIEU",""
"Innsbruck 1964","Austria","Silver","giant slalom men","Karl SCHRANZ",""
"Innsbruck 1964","Austria","Bronze","downhill women","Traudl HECHER",""
"Innsbruck 1964","Austria","Gold","downhill women","Christl HAAS",""
"Innsbruck 1964","Austria","Silver","downhill women","Edith ZIMMERMANN",""
"Innsbruck 1964","Finland","Gold","30km mass start","Eero MÄNTYRANTA",""
"Innsbruck 1964","Norway","Silver","30km mass start","Harald GRÖNNINGEN",""
"Innsbruck 1964","USSR","Bronze","30km mass start","Igor VORONCHIKHIN",""
"Innsbruck 1964","Italy","Bronze","four-man men","four-man  02",""
"Innsbruck 1964","Canada","Gold","four-man men","four-man  01",""
"Innsbruck 1964","Austria","Silver","four-man men","four-man  01",""
"Innsbruck 1964","Canada","Gold","four-man men","Victor EMERY",""
"Innsbruck 1964","Canada","Gold","four-man men","Peter KIRBY",""
"Innsbruck 1964","Canada","Gold","four-man men","Douglas ANAKIN",""
"Innsbruck 1964","Canada","Gold","four-man men","John EMERY",""
"Innsbruck 1964","Austria","Silver","four-man men","Erwin THALER",""
"Innsbruck 1964","Austria","Silver","four-man men","Adolf KOXEDER",""
"Innsbruck 1964","Austria","Silver","four-man men","Josef NAIRZ",""
"Innsbruck 1964","Austria","Silver","four-man men","Reinhold DURNTHALER",""
"Innsbruck 1964","Italy","Bronze","four-man men","Eugenio MONTI",""
"Innsbruck 1964","Italy","Bronze","four-man men","Sergio SIORPAES",""
"Innsbruck 1964","Italy","Bronze","four-man men","Benito RIGONI",""
"Innsbruck 1964","Italy","Bronze","four-man men","Gildo SIORPAES",""
"Innsbruck 1964","United States of America","Gold","500m men","Richard MCDERMOTT",""
"Innsbruck 1964","USSR","Silver","500m men","Yevgeny GRISHIN",""
"Innsbruck 1964","USSR","Silver","500m men","Vladimir ORLOV",""
"Innsbruck 1964","Norway","Silver","500m men","Alv GJESTVANG",""
"Innsbruck 1964","Finland","Bronze","1000m women","Kaija MUSTONEN",""
"Innsbruck 1964","USSR","Silver","1000m women","Irina YEGOROVA",""
"Innsbruck 1964","USSR","Gold","1000m women","Lidiya SKOBLIKOVA",""
"Innsbruck 1964","USSR","Gold","20km men","Vladimir MELANIN",""
"Innsbruck 1964","Norway","Bronze","20km men","Olav JORDET",""
"Innsbruck 1964","USSR","Silver","20km men","Aleksandr PRIVALOV",""
"Grenoble 1968","USSR","Silver","1000m women","Lyudmila TITOVA",""
"Grenoble 1968","United States of America","Bronze","1000m women","Dianne HOLUM",""
"Grenoble 1968","Netherlands","Gold","1000m women","Carolina GEIJSSEN",""
"Grenoble 1968","Austria","Silver","K90 individual (70m) men","Reinhold BACHLER",""
"Grenoble 1968","Austria","Bronze","K90 individual (70m) men","Baldur PREIML",""
"Grenoble 1968","Czechoslovakia","Gold","K90 individual (70m) men","Jiri RASKA",""
"Grenoble 1968","Netherlands","Silver","1500m women","Carolina GEIJSSEN",""
"Grenoble 1968","Netherlands","Bronze","1500m women","Christina KAISER",""
"Grenoble 1968","Finland","Gold","1500m women","Kaija MUSTONEN",""
"Grenoble 1968","Netherlands","Bronze","5000m men","Petrus NOTTET",""
"Grenoble 1968","Norway","Gold","5000m men","Fred Anton MAIER",""
"Grenoble 1968","Netherlands","Silver","5000m men","Cornelis VERKERK",""
"Grenoble 1968","USSR","Gold","pairs mixed","BELOUSOVA, Lyudmila / PROTOPOPOV, Oleg",""
"Grenoble 1968","USSR","Silver","pairs mixed","GORELIK, Aleksandr / ZHUK, Tatyana",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Bronze","pairs mixed","DANNE, Wolfgang / GLOCKSHUBER, Margot",""
"Grenoble 1968","USSR","Gold","pairs mixed","Lyudmila BELOUSOVA",""
"Grenoble 1968","USSR","Gold","pairs mixed","Oleg PROTOPOPOV",""
"Grenoble 1968","USSR","Silver","pairs mixed","Tatyana ZHUK",""
"Grenoble 1968","USSR","Silver","pairs mixed","Aleksandr GORELIK",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Bronze","pairs mixed","Margot GLOCKSHUBER",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Bronze","pairs mixed","Wolfgang DANNE",""
"Grenoble 1968","Austria","Silver","slalom men","Herbert HUBER",""
"Grenoble 1968","France","Gold","slalom men","Jean-Claude KILLY",""
"Grenoble 1968","Austria","Bronze","slalom men","Alfred MATT",""
"Grenoble 1968","Netherlands","Silver","1500m men","Ard SCHENK",""
"Grenoble 1968","Norway","Silver","1500m men","Ivar ERIKSEN",""
"Grenoble 1968","Netherlands","Gold","1500m men","Cornelis VERKERK",""
"Grenoble 1968","Norway","Silver","500m men","Magne THOMASSEN",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Gold","500m men","Erhard KELLER",""
"Grenoble 1968","United States of America","Silver","500m men","Richard MCDERMOTT",""
"Grenoble 1968","Sweden","Gold","10000m men","Johnny HÖGLIN",""
"Grenoble 1968","Sweden","Bronze","10000m men","Örjan SANDLER",""
"Grenoble 1968","Norway","Silver","10000m men","Fred Anton MAIER",""
"Grenoble 1968","German Democratic Republic ((1955-1990) ","Bronze","singles men","Klaus BONSACK",""
"Grenoble 1968","Austria","Gold","singles men","Manfred SCHMID",""
"Grenoble 1968","German Democratic Republic ((1955-1990) ","Silver","singles men","Thomas KÖHLER",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Bronze","doubles ","WINKLER, Wolfgang / NACHMANN, Fritz",""
"Grenoble 1968","German Democratic Republic ((1955-1990) ","Gold","doubles ","BONSACK, Klaus / KÖHLER, Thomas",""
"Grenoble 1968","Austria","Silver","doubles ","SCHMID, Manfred / WALCH, Ewald",""
"Grenoble 1968","German Democratic Republic ((1955-1990) ","Gold","doubles ","Klaus BONSACK",""
"Grenoble 1968","German Democratic Republic ((1955-1990) ","Gold","doubles ","Thomas KÖHLER",""
"Grenoble 1968","Austria","Silver","doubles ","Manfred SCHMID",""
"Grenoble 1968","Austria","Silver","doubles ","Ewald WALCH",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Bronze","doubles ","Wolfgang WINKLER",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Bronze","doubles ","Fritz NACHMANN",""
"Grenoble 1968","Norway","Gold","50km","Ole ELLEFSAETER",""
"Grenoble 1968","Switzerland","Bronze","50km","Joseph HAAS",""
"Grenoble 1968","USSR","Silver","50km","Vyacheslav VEDENIN",""
"Grenoble 1968","Austria","Gold","individual men","Wolfgang SCHWARZ",""
"Grenoble 1968","France","Bronze","individual men","Patrick PERA",""
"Grenoble 1968","United States of America","Silver","individual men","Timothy WOOD",""
"Grenoble 1968","Canada","Gold","giant slalom women","Nancy GREENE",""
"Grenoble 1968","France","Silver","giant slalom women","Annie FAMOSE",""
"Grenoble 1968","Switzerland","Bronze","giant slalom women","Fernande BOCHATAY",""
"Grenoble 1968","France","Gold","slalom women","Marielle GOITSCHEL",""
"Grenoble 1968","Canada","Silver","slalom women","Nancy GREENE",""
"Grenoble 1968","France","Bronze","slalom women","Annie FAMOSE",""
"Grenoble 1968","Sweden","Silver","4x10km relay men","4x10km relay",""
"Grenoble 1968","Norway","Gold","4x10km relay men","4x10km relay",""
"Grenoble 1968","Finland","Bronze","4x10km relay men","4x10km relay",""
"Grenoble 1968","Norway","Gold","4x10km relay men","Odd MARTINSEN",""
"Grenoble 1968","Norway","Gold","4x10km relay men","Paal TYLDUM",""
"Grenoble 1968","Norway","Gold","4x10km relay men","Harald GRÖNNINGEN",""
"Grenoble 1968","Norway","Gold","4x10km relay men","Ole ELLEFSAETER",""
"Grenoble 1968","Sweden","Silver","4x10km relay men","Jan HALVARSSON",""
"Grenoble 1968","Sweden","Silver","4x10km relay men","Bjarne ANDERSSON",""
"Grenoble 1968","Sweden","Silver","4x10km relay men","Gunnar LARSSON",""
"Grenoble 1968","Sweden","Silver","4x10km relay men","Assar RÖNNLUND",""
"Grenoble 1968","Finland","Bronze","4x10km relay men","Kalevi OIKARAINEN",""
"Grenoble 1968","Finland","Bronze","4x10km relay men","Hannu TAIPALE",""
"Grenoble 1968","Finland","Bronze","4x10km relay men","Kalevi LAURILA",""
"Grenoble 1968","Finland","Bronze","4x10km relay men","Eero MÄNTYRANTA",""
"Grenoble 1968","Italy","Gold","two-man men","DE PAOLIS, Luciano / MONTI, Eugenio",""
"Grenoble 1968","Romania","Bronze","two-man men","NEAGOE, Nicolae / PANTURU, Ion",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Silver","two-man men","BADER, Pepi / FLOTH, Horst",""
"Grenoble 1968","Italy","Gold","two-man men","Eugenio MONTI",""
"Grenoble 1968","Italy","Gold","two-man men","Luciano DE PAOLIS",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Silver","two-man men","Horst FLOTH",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Silver","two-man men","Pepi BADER",""
"Grenoble 1968","Romania","Bronze","two-man men","Ion PANTURU",""
"Grenoble 1968","Romania","Bronze","two-man men","Nicolae NEAGOE",""
"Grenoble 1968","Austria","Bronze","giant slalom men","Heinrich MESSNER",""
"Grenoble 1968","France","Gold","giant slalom men","Jean-Claude KILLY",""
"Grenoble 1968","Switzerland","Silver","giant slalom men","Willy FAVRE",""
"Grenoble 1968","Czechoslovakia","Silver","K120 individual (90m) men","Jiri RASKA",""
"Grenoble 1968","Norway","Bronze","K120 individual (90m) men","Lars GRINI",""
"Grenoble 1968","USSR","Gold","K120 individual (90m) men","Vladimir BELOUSOV",""
"Grenoble 1968","Switzerland","Silver","individual","Alois KÄLIN",""
"Grenoble 1968","German Democratic Republic ((1955-1990) ","Bronze","individual","Andreas KUNZ",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Gold","individual","Franz KELLER",""
"Grenoble 1968","USSR","Bronze","5km","Alevtina KOLCHINA",""
"Grenoble 1968","Sweden","Gold","5km","Toini GUSTAFSSON",""
"Grenoble 1968","USSR","Silver","5km","Galina KULAKOVA",""
"Grenoble 1968","United States of America","Silver","500m women","Jennifer FISH",""
"Grenoble 1968","United States of America","Silver","500m women","Mary MEYERS",""
"Grenoble 1968","United States of America","Silver","500m women","Dianne HOLUM",""
"Grenoble 1968","USSR","Gold","500m women","Lyudmila TITOVA",""
"Grenoble 1968","Italy","Gold","singles women","Erica LECHNER",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Silver","singles women","Christa SCHMUCK",""
"Grenoble 1968","Federal Republic of Germany (1950-1990, ""GER"" since) ","Bronze","singles women","Angelika DÜNHAUPT",""
"Grenoble 1968","Netherlands","Gold","3000m women","Johanna SCHUT",""
"Grenoble 1968","Netherlands","Bronze","3000m women","Christina KAISER",""
"Grenoble 1968","Finland","Silver","3000m women","Kaija MUSTONEN",""
"Grenoble 1968","Sweden","Bronze","15km  men","Gunnar LARSSON",""
"Grenoble 1968","Finland","Silver","15km  men","Eero MÄNTYRANTA",""
"Grenoble 1968","Norway","Gold","15km  men","Harald GRÖNNINGEN",""
"Grenoble 1968","USSR","Silver","20km men","Aleksandr TIKHONOV",""
"Grenoble 1968","USSR","Bronze","20km men","Vladimir GUNDARTSEV",""
"Grenoble 1968","Norway","Gold","20km men","Magnar SOLBERG",""
"Grenoble 1968","Austria","Gold","downhill women","Olga PALL",""
"Grenoble 1968","France","Silver","downhill women","Isabelle MIR",""
"Grenoble 1968","Austria","Bronze","downhill women","Christl HAAS",""
"Grenoble 1968","France","Gold","downhill men","Jean-Claude KILLY",""
"Grenoble 1968","France","Silver","downhill men","Guy PÉRILLAT",""
"Grenoble 1968","Switzerland","Bronze","downhill men","Jean-Daniel DÄTWYLER",""
"Grenoble 1968","Norway","Silver","30km mass start","Odd MARTINSEN",""
"Grenoble 1968","Italy","Gold","30km mass start","Franco NONES",""
"Grenoble 1968","Finland","Bronze","30km mass start","Eero MÄNTYRANTA",""
"Grenoble 1968","German Democratic Republic ((1955-1990) ","Silver","individual women","Gabriele SEYFERT",""
"Grenoble 1968","Czechoslovakia","Bronze","individual women","Hana MASKOVA",""
"Grenoble 1968","United States of America","Gold","individual women","Peggy FLEMING",""
"Grenoble 1968","Norway","Bronze","10km women","Inger AUFLES",""
"Grenoble 1968","Sweden","Gold","10km women","Toini GUSTAFSSON",""
"Grenoble 1968","Norway","Silver","10km women","Berit MÖRDRE",""
"Grenoble 1968","Switzerland","Bronze","four-man men","four-man  01",""
"Grenoble 1968","Italy","Gold","four-man men","four-man  01",""
"Grenoble 1968","Austria","Silver","four-man men","four-man  01",""
"Grenoble 1968","Italy","Gold","four-man men","Eugenio MONTI",""
"Grenoble 1968","Italy","Gold","four-man men","Luciano DE PAOLIS",""
"Grenoble 1968","Italy","Gold","four-man men","Roberto ZANDONELLA",""
"Grenoble 1968","Italy","Gold","four-man men","Mario ARMANO",""
"Grenoble 1968","Austria","Silver","four-man men","Erwin THALER",""
"Grenoble 1968","Austria","Silver","four-man men","Reinhold DURNTHALER",""
"Grenoble 1968","Austria","Silver","four-man men","Herbert GRUBER",""
"Grenoble 1968","Austria","Silver","four-man men","Josef EDER",""
"Grenoble 1968","Switzerland","Bronze","four-man men","Jean WICKI",""
"Grenoble 1968","Switzerland","Bronze","four-man men","Hans CANDRIAN",""
"Grenoble 1968","Switzerland","Bronze","four-man men","Willi HOFMANN",""
"Grenoble 1968","Switzerland","Bronze","four-man men","Walter GRAF",""
"Grenoble 1968","Canada","Bronze","ice hockey men","ice hockey",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","ice hockey",""
"Grenoble 1968","USSR","Gold","ice hockey men","ice hockey",""
"Grenoble 1968","USSR","Gold","ice hockey men","Boris MAYOROV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Yuri MOISSEYEV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Anatoli FIRSOV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Vitali DAVIDOV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Viktor BLINOV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Igor ROMICHEVSKY",""
"Grenoble 1968","USSR","Gold","ice hockey men","Viktor KONOVALENKO",""
"Grenoble 1968","USSR","Gold","ice hockey men","Viktor ZINGER",""
"Grenoble 1968","USSR","Gold","ice hockey men","Viacheslav STARSHINOV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Anatoli IONOV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Viktor POLUPANOV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Viktor KOUSKINE",""
"Grenoble 1968","USSR","Gold","ice hockey men","Oleg ZAITZEV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Aleksandr RAGULIN",""
"Grenoble 1968","USSR","Gold","ice hockey men","Veniamin ALEKSANDROV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Evgeni ZIMIN",""
"Grenoble 1968","USSR","Gold","ice hockey men","Evgeni MISHAKOV",""
"Grenoble 1968","USSR","Gold","ice hockey men","Vladimir VIKULOV",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Jan KLAPAC",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Frantisek SEVCIK",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Jan HAVEL",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Jan HRBATY",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Vaclav NEDOMANSKY",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Oldrich MACHAC",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Jan SUCHY",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Vladimir NADRCHAL",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Vladimir DZURILLA",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Josef GOLONKA",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Petr HEJMA",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Jiri KOCHTA",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Josef HORESOVSKY",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Frantisek POSPISIL",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Karel MASOPUST",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Jaroslav JIRIK",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Jiri HOLIK",""
"Grenoble 1968","Czechoslovakia","Silver","ice hockey men","Josef CERNY",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Raymond CADIEUX",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Stephen MONTEITH",""
"Grenoble 1968","Canada","Bronze","ice hockey men","William MCMILLAN",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Larry Marshall JOHNSTON",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Paul CONLIN",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Brian GLENNIE",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Kenneth BRODERICK",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Wayne STEPHENSON",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Terrence O'MALLEY",""
"Grenoble 1968","Canada","Bronze","ice hockey men","John Barry MCKENZIE",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Ted HARGREAVES",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Herbert PINDER",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Morris MOTT",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Gerry PINDER",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Roger BOURBONNAIS",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Francis HUCK",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Gary DINEEN",""
"Grenoble 1968","Canada","Bronze","ice hockey men","Danny O'SHEA",""
"Grenoble 1968","USSR","Gold","4x7.5km relay men","4x7.5km relay",""
"Grenoble 1968","Sweden","Bronze","4x7.5km relay men","4x7.5km relay",""
"Grenoble 1968","Norway","Silver","4x7.5km relay men","4x7.5km relay",""
"Grenoble 1968","USSR","Gold","4x7.5km relay men","Aleksandr TIKHONOV",""
"Grenoble 1968","USSR","Gold","4x7.5km relay men","Nikolaï PUSANOV",""
"Grenoble 1968","USSR","Gold","4x7.5km relay men","Viktor MAMATOV",""
"Grenoble 1968","USSR","Gold","4x7.5km relay men","Vladimir GUNDARTSEV",""
"Grenoble 1968","Norway","Silver","4x7.5km relay men","Ola WAERHAUG",""
"Grenoble 1968","Norway","Silver","4x7.5km relay men","Olav JORDET",""
"Grenoble 1968","Norway","Silver","4x7.5km relay men","Magnar SOLBERG",""
"Grenoble 1968","Norway","Silver","4x7.5km relay men","Jon ISTAD",""
"Grenoble 1968","Sweden","Bronze","4x7.5km relay men","Lars-Göran ARWIDSON",""
"Grenoble 1968","Sweden","Bronze","4x7.5km relay men","Tore ERIKSSON",""
"Grenoble 1968","Sweden","Bronze","4x7.5km relay men","Olle PETRUSSON",""
"Grenoble 1968","Sweden","Bronze","4x7.5km relay men","Holmfrid OLSSON",""
"Grenoble 1968","Sweden","Silver","3x5km relay","3x5km relay",""
"Grenoble 1968","USSR","Bronze","3x5km relay","3x5km relay",""
"Grenoble 1968","Norway","Gold","3x5km relay","3x5km relay",""
"Grenoble 1968","Norway","Gold","3x5km relay","Inger AUFLES",""
"Grenoble 1968","Norway","Gold","3x5km relay","Babben ENGER",""
"Grenoble 1968","Norway","Gold","3x5km relay","Berit MÖRDRE",""
"Grenoble 1968","Sweden","Silver","3x5km relay","Britt STRANDBERG",""
"Grenoble 1968","Sweden","Silver","3x5km relay","Toini GUSTAFSSON",""
"Grenoble 1968","Sweden","Silver","3x5km relay","Barbro MARTINSSON",""
"Grenoble 1968","USSR","Bronze","3x5km relay","Alevtina KOLCHINA",""
"Grenoble 1968","USSR","Bronze","3x5km relay","Rita ACHKINA",""
"Grenoble 1968","USSR","Bronze","3x5km relay","Galina KULAKOVA",""
"Sapporo 1972","Czechoslovakia","Bronze","5km","Helena SIKOLOVA",""
